"address","year","b_result","bTowers","rTowers","outer_mean_diff","golddiff_mean","air_dragon","baron_nashor","earth_dragon","rift_herald","fire_dragon","elder_dragon","water_dragon","dragon","bKills","rKills","diff"
"30030?gameHash=fbb300951ad8327c",2015,"win",16.4753333333333,17.7353333333333,-1.26,1360.925,NA,NA,NA,NA,NA,NA,NA,NA,16,9,7
"30054?gameHash=055b17da8456fdc8",2015,"lose",21.3696666666667,19.2906666666667,2.079,968.657894736842,NA,NA,NA,NA,NA,NA,NA,NA,10,9,1
"30067?gameHash=8e8a9b58df366e2d",2015,"win",19.2886666666667,27.5565,-8.26783333333333,4937.075,NA,NA,NA,NA,NA,NA,NA,NA,22,8,14
"30091?gameHash=0ed1cd0e0e57329c",2015,"lose",20.4536666666667,23.2836666666667,-2.83,-736.365853658537,NA,NA,NA,NA,NA,NA,NA,NA,10,21,-11
"30105?gameHash=f932becf86175f38",2015,"win",18.6856666666667,13.1113333333333,5.57433333333333,1589,NA,NA,NA,NA,NA,NA,NA,NA,22,10,12
"30131?gameHash=194c672d7969984f",2015,"lose",NA,15.1463333333333,NA,-1477.625,NA,NA,NA,NA,NA,NA,NA,NA,4,8,-4
"30133?gameHash=2a7ecaf7380e9d89",2015,"win",16.929,19.372,-2.443,4602.48717948718,NA,NA,NA,NA,NA,NA,NA,NA,25,7,18
"30149?gameHash=c1678fe8c1106f56",2015,"win",17.4583333333333,18.6553333333333,-1.197,2879.62790697674,NA,NA,NA,NA,NA,NA,NA,NA,27,12,15
"30161?gameHash=23bade11cbfc3da3",2015,"lose",16.5663333333333,20.8866666666667,-4.32033333333333,-668.878048780488,NA,NA,NA,NA,NA,NA,NA,NA,8,22,-14
"30172?gameHash=bb82a23d050613d1",2015,"win",17.9886666666667,22.7203333333333,-4.73166666666667,1297.15625,NA,NA,NA,NA,NA,NA,NA,NA,16,9,7
"1001000016?gameHash=e8fbe00273df6ede",2015,"win",17.589,31.7855,-14.1965,4495.63461538462,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1
"1001000017?gameHash=00a7858e986c8d87",2015,"win",19.598,15.598,4,-96.6304347826087,NA,NA,NA,NA,NA,NA,NA,NA,16,14,2
